perovskite,BG,Cs,FA,MA,Pb,Sn,I,Br
Cs0.2FA0.8Pb0.3Sn0.7I3,1.35,0.2,0.8,0,0.3,0.7,3,0
Cs0.2FA0.8Pb0.5Sn0.5I3,1.3,0.2,0.8,0,0.5,0.5,3,0
Cs0.2FA0.8Pb0.75Sn0.25I3,1.35,0.2,0.8,0,0.75,0.25,3,0
Cs0.2FA0.8PbBr0.6I2.4,1.48,0.2,0.8,0,1,0,2.4,0.6
Cs0.2FA0.8PbBr0.75I2.25,1.67,0.2,0.8,0,1,0,2.25,0.75
Cs0.2FA0.8PbBr0.9I2.1,1.75,0.2,0.8,0,1,0,2.1,0.9
Cs0.2FA0.8PbBr1.05I1.95,1.76,0.2,0.8,0,1,0,1.95,1.05
Cs0.2FA0.8PbBr1.2I1.8,1.82,0.2,0.8,0,1,0,1.8,1.2
Cs0.2FA0.8PbBr1.5I1.5,1.82,0.2,0.8,0,1,0,1.5,1.5
Cs0.2FA0.8PbI3,1.59,0.2,0.8,0,1,0,3,0
Cs0.2FA0.8SnI3,1.2,0.2,0.8,0,0,1,3,0
Cs0.2MA0.8Pb0.5Sn0.5I3,1.3,0.2,0,0.8,0.5,0.5,3,0
Cs0.2MA0.8PbI3,1.62,0.2,0,0.8,1,0,3,0
Cs0.30FA0.70PbI3,1.58,0.3,0.7,0,1,0,3,0
Cs0.30MA0.70PbI3,1.58,0.3,0,0.7,1,0,3,0
Cs0.34MA0.66PbI3,1.652,0.34,0,0.66,1,0,3,0
Cs0.3FA0.2MA0.5PbI3,1.64,0.3,0.2,0.5,1,0,3,0
Cs0.3FA0.7Pb0.7Sn0.3I3,1.3,0.3,0.7,0,0.7,0.3,3,0
Cs0.3FA0.7PbBr0.15I2.85,1.62,0.3,0.7,0,1,0,2.85,0.15
Cs0.3FA0.7PbBr3,2.287,0.3,0.7,0,1,0,0,3
Cs0.3FA0.7PbI3,1.523,0.3,0.7,0,1,0,3,0
Cs0.3MA0.7Pb0.5Sn0.5I3,1.28,0.3,0,0.7,0.5,0.5,3,0
Cs0.40MA0.60PbI3,1.62,0.4,0,0.6,1,0,3,0
Cs0.45FA0.55PbBr0.15I2.85,1.62,0.45,0.55,0,1,0,2.85,0.15
Cs0.4FA0.2MA0.4PbI3,1.64,0.4,0.2,0.4,1,0,3,0
Cs0.4FA0.6PbBr0.9I2.1,1.76,0.4,0.6,0,1,0,2.1,0.9
Cs0.4FA0.6PbBr1.05I1.95,1.8,0.4,0.6,0,1,0,1.95,1.05
Cs0.5FA0.4MA0.1PbBr0.51I2.49,1.7,0.5,0.4,0.1,1,0,2.49,0.51
Cs0.5FA0.5PbBr0.51I2.49,1.62,0.5,0.5,0,1,0,2.49,0.51
Cs0.60MA0.40PbI3,1.68,0.6,0,0.4,1,0,3,0
Cs0.79FA0.16MA0.1PbBrI2,1.73,0.79,0.16,0.1,1,0,2,1
Cs0.80MA0.20PbI3,1.72,0.8,0,0.2,1,0,3,0
Cs0.88FA0.12PbI3,1.51,0.88,0.12,0,1,0,3,0
CsPb0.1Sn0.9I3,1.22,1,0,0,0.1,0.9,3,0
CsPb0.3Sn0.7I3,1.29,1,0,0,0.3,0.7,3,0
CsPb0.6Sn0.4I3,1.38,1,0,0,0.6,0.4,3,0
CsPb0.93I3,1.8,1,0,0,0.93,0,3,0
CsPb0.95I3,1.75,1,0,0,0.95,0,3,0
CsPb0.98I3,1.71,1,0,0,0.98,0,3,0
CsPb0.9I3,1.84,1,0,0,0.9,0,3,0
CsPb0.9Sn0.1Br2I,1.79,1,0,0,0.9,0.1,1,2
CsPb1.0BrI2,1.92,1,0,0,1,0,2,1
CsPbBr0.09I2.91,1.77,1,0,0,1,0,2.91,0.09
CsPbBr0.15I2.85,1.7,1,0,0,1,0,2.85,0.15
CsPbBr0.21I2.79,1.81,1,0,0,1,0,2.79,0.21
CsPbBr0.2I2.8,1.82,1,0,0,1,0,2.8,0.2
CsPbBr0.31I2.69,1.75,1,0,0,1,0,2.69,0.31
CsPbBr0.45I2.55,1.84,1,0,0,1,0,2.55,0.45
CsPbBr2.7I0.3,2.32,1,0,0,1,0,0.3,2.7
CsPbBr2.8I0.2,2.35,1,0,0,1,0,0.2,2.8
CsPbBr2.9I0.1,2.38,1,0,0,1,0,0.1,2.9
CsPbBr2I,2.07,1,0,0,1,0,1,2
CsPbBr3,2.3,1,0,0,1,0,0,3
CsPbBrI2,1.92,1,0,0,1,0,2,1
CsPbI3,1.73,1,0,0,1,0,3,0
CsSnBr0.5I2.5,1.375,1,0,0,0,1,2.5,0.5
CsSnBr0.6I2.4,1.4,1,0,0,0,1,2.4,0.6
CsSnBr2.5I0.5,2.36,1,0,0,0,1,0.5,2.5
CsSnBr2I,1.63,1,0,0,0,1,1,2
CsSnBr3,1.8,1,0,0,0,1,0,3
